home gNB ID,gNB Numeric ID,Home Cell ID,Home Cell Global Cell ID,Neighbour Cell Info
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358497709
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358497708
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358497707
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357837997
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357837996
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357837995
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358109869
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358109868
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358109867
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358076845
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358076844
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358076843
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358532781
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358532780
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358532779
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358515629
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358515628
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358515627
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358109357
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358109356
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358109355
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358428845
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358428844
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358428843
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358118061
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358118060
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358118059
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358473133
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358473132
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358473131
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358014381
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358014379
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358014380
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358030509
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358030508
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358030507
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358512045
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358512044
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358512043
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358020013
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358020012
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358020011
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357982381
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357982380
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357982379
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358464941
